日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2019-11-29,409349,395428,103.52,347032,303612,114.3
2019-11-28,253680,218603,116.05,313282,243477,128.67
2019-11-27,302303,298055,101.43,245069,179168,136.78
2019-11-26,363074,311367,116.61,398990,283270,140.85
2019-11-25,306648,266757,114.95,360281,275598,130.73
2019-11-22,232776,183370,126.94,322900,249527,129.4
2019-11-21,358393,309008,115.98,285608,219099,130.36
2019-11-20,478926,511752,93.59,191305,143068,133.72
2019-11-19,507447,413017,122.86,582344,356321,163.43
2019-11-18,325102,235946,137.79,534102,344345,155.11
2019-11-15,348287,320177,108.78,504278,343574,146.77
2019-11-14,324895,270958,119.91,456076,331033,137.77
2019-11-13,536428,511577,104.86,403099,290607,138.71
2019-11-12,431633,338645,127.46,544872,406530,134.03
2019-11-11,482724,447062,107.98,497451,411290,120.95
2019-11-08,340204,338297,100.56,502111,340022,147.67
2019-11-07,320024,271761,117.76,474904,301156,157.69
2019-11-06,571240,645210,88.54,408383,234066,174.47
2019-11-05,491714,473909,103.76,559874,317366,176.41
2019-11-04,564194,515732,109.4,529845,291881,181.53
2019-11-01,256210,185580,138.06,433958,282002,153.88
2019-10-31,267128,216622,123.32,398378,270600,147.22
2019-10-30,343824,364647,94.29,330106,209531,157.55
2019-10-29,326575,287732,113.5,450530,287833,156.52
2019-10-28,210584,166117,126.77,431251,269998,159.72
2019-10-25,244003,237422,102.77,404294,249934,161.76
2019-10-24,264458,192846,137.13,370126,229786,161.07
2019-10-23,419941,373056,112.57,285559,183303,155.79
2019-10-22,369620,294230,125.62,418711,255331,163.99
2019-10-21,193929,151384,128.1,367822,254201,144.7
2019-10-18,345735,319864,108.09,344881,239890,143.77
2019-10-17,200553,139819,143.44,291458,187266,155.64
2019-10-16,542110,474464,114.26,215466,142821,150.86
2019-10-15,337463,246469,136.92,509683,277583,183.61
2019-10-14,400678,292890,136.8,452358,264587,170.97
2019-10-09,543357,473204,114.83,341266,235952,144.63
2019-10-08,401745,332977,120.65,500795,301218,166.26
2019-10-07,301454,215759,139.72,459393,324617,141.52
2019-10-04,335115,283407,118.25,419249,314117,133.47
2019-10-03,382169,299051,127.79,378993,288002,131.59
2019-10-02,400731,347674,115.26,313396,215529,145.41
2019-10-01,417636,343975,121.41,430705,277298,155.32
2019-09-27,278763,234959,118.64,374810,283532,132.19
2019-09-26,267945,230692,116.15,344751,252054,136.78
2019-09-25,466203,407718,114.34,285350,194944,146.38
2019-09-24,303838,262029,115.96,383665,276621,138.7
2019-09-23,234192,194474,120.42,366109,265873,137.7
2019-09-20,184281,148891,123.77,322085,235207,136.94
2019-09-19,253951,208867,121.59,275490,213108,129.27
2019-09-18,434081,523029,82.99,196826,141099,139.49
2019-09-17,306305,245592,124.72,524279,359624,145.79
2019-09-16,332160,279976,118.64,490550,334071,146.84
2019-09-12,300543,297292,101.09,429926,310875,138.3
2019-09-11,463669,459892,100.82,374395,247614,151.2
2019-09-10,274042,263309,104.08,489907,349842,140.04
2019-09-09,258731,229016,112.98,472849,331834,142.5
2019-09-06,276767,223038,124.09,450846,309025,145.89
2019-09-05,351211,331962,105.8,401962,291431,137.93
2019-09-04,492852,470537,104.74,325029,244786,132.78
2019-09-03,372774,308144,120.97,444884,349215,127.4
2019-09-02,343629,270459,127.05,424380,315400,134.55
2019-08-30,368177,311557,118.17,380720,294673,129.2
2019-08-29,228098,194474,117.29,319256,261548,122.06
2019-08-28,461419,371970,124.05,255129,214853,118.75
2019-08-27,358166,308162,116.23,377747,358906,105.25
2019-08-26,514712,455962,112.88,335393,341276,98.28
2019-08-23,215734,199385,108.2,291624,250089,116.61
2019-08-22,268984,258396,104.1,258627,224791,115.05
2019-08-21,421268,391552,107.59,185392,154094,120.31
2019-08-20,358149,342550,104.55,474787,398618,119.11
2019-08-19,380195,317057,119.91,460397,389674,118.15
2019-08-16,462891,457113,101.26,427162,382700,111.62
2019-08-15,426052,355025,120.01,384569,366579,104.91
2019-08-14,698857,657126,106.35,322638,288150,111.97
2019-08-13,420863,389215,108.13,420483,405395,103.72
2019-08-12,338186,273523,123.64,408285,365310,111.76
2019-08-08,442927,397075,111.55,370430,341250,108.55
2019-08-07,609887,605765,100.68,282795,275381,102.69
2019-08-06,895460,743121,120.5,423324,453717,93.3
2019-08-05,469078,446309,105.1,394293,429506,91.8
2019-08-02,539398,503467,107.14,356636,373288,95.54
2019-08-01,306247,287559,106.5,316074,290326,108.87
2019-07-31,549920,526769,104.39,250450,221101,113.27
2019-07-30,296188,309159,95.8,349200,306599,113.89
2019-07-29,203964,198041,102.99,334287,278730,119.93
2019-07-26,160922,149132,107.91,298913,256164,116.69
2019-07-25,196786,183478,107.25,265539,225785,117.61
2019-07-24,362000,359495,100.7,211788,182012,116.36
2019-07-23,282552,259841,108.74,339159,265189,127.89
2019-07-22,272723,223583,121.98,315634,252144,125.18
2019-07-19,319428,275026,116.14,268282,237560,112.93
2019-07-18,172239,167410,102.88,200566,200691,99.94
2019-07-17,461680,530270,87.07,140822,133244,105.69
2019-07-16,284432,271434,104.79,453221,336203,134.81
2019-07-15,379533,378288,100.33,420481,325230,129.29
2019-07-12,222781,195458,113.98,386356,314275,122.94
2019-07-11,312078,279461,111.67,362823,286955,126.44
2019-07-10,483424,445931,108.41,293741,254785,115.29
2019-07-09,243380,265167,91.78,367755,357977,102.73
2019-07-08,321267,290470,110.6,350561,319440,109.74
2019-07-05,171450,156524,109.54,324420,284907,113.87
2019-07-04,215547,188955,114.07,301609,264896,113.86
2019-07-03,492262,389874,126.26,242080,229947,105.28
2019-07-02,225839,222503,101.5,375376,314462,119.37
2019-07-01,366090,318222,115.04,358225,298630,119.96
2019-06-28,187866,209065,89.86,279867,280776,99.68
2019-06-27,255692,231689,110.36,257778,237119,108.71
2019-06-26,422661,381553,110.77,183433,191518,95.78
2019-06-25,297193,315234,94.28,292504,290986,100.52
2019-06-24,262936,246199,106.8,289191,254704,113.54
2019-06-21,265775,327140,81.24,257993,233355,110.56
2019-06-20,185474,174954,106.01,213468,183142,116.56
2019-06-19,653242,687222,95.06,161714,127530,126.8
2019-06-18,212120,214237,99.01,456561,411296,111.01
2019-06-17,299449,294913,101.54,443581,410163,108.15
2019-06-14,184334,184483,99.92,424914,399587,106.34
2019-06-13,257372,269923,95.35,406516,375355,108.3
2019-06-12,412139,474341,86.89,361513,310923,116.27
2019-06-11,407895,361503,112.83,484471,422034,114.79
2019-06-10,410113,366925,111.77,444019,402493,110.32
2019-06-06,273240,309275,88.35,387142,380700,101.69
2019-06-05,471975,510693,92.42,334738,309654,108.1
2019-06-04,355083,390257,90.99,482085,440147,109.53
2019-06-03,398708,362749,109.91,467725,405929,115.22
2019-05-31,405682,355582,114.09,435402,373209,116.66
2019-05-30,303745,273897,110.9,374375,342190,109.41
2019-05-29,486269,457313,106.33,304853,288080,105.82
2019-05-28,245907,236890,103.81,430217,403773,106.55
2019-05-27,272852,261765,104.24,413713,386049,107.17
2019-05-24,374596,295730,126.67,390122,355023,109.89
2019-05-23,362568,343037,105.69,336579,322453,104.38
2019-05-22,474476,465997,101.82,276350,238699,115.77
2019-05-21,442535,420387,105.27,415024,350781,118.31
2019-05-20,392414,349446,112.3,386191,341281,113.16
2019-05-17,420518,444734,94.55,347914,311741,111.6
2019-05-16,338578,307945,109.95,299521,237369,126.18
2019-05-15,598257,599532,99.79,221977,165783,133.9
2019-05-14,679307,667150,101.82,534564,485482,110.11
2019-05-13,465550,552753,84.22,501475,453194,110.65
2019-05-10,611413,545600,112.06,454741,375590,121.07
2019-05-09,420053,416425,100.87,396596,331862,119.51
2019-05-08,723596,599266,120.75,361344,255351,141.51
2019-05-07,489312,389296,125.69,504096,374352,134.66
2019-05-06,631988,514823,122.76,437574,363239,120.46
2019-05-03,407065,350309,116.2,418256,272151,153.69
2019-05-02,508866,462123,110.11,328796,225967,145.51
2019-04-30,309252,282764,109.37,427739,335716,127.41
2019-04-29,287642,234568,122.63,412535,321573,128.29
2019-04-26,373233,330371,112.97,360095,299774,120.12
2019-04-25,242565,199517,121.58,328044,235176,139.49
2019-04-24,460236,461757,99.67,266439,198929,133.94
2019-04-23,381135,326391,116.77,409450,289257,141.55
2019-04-22,240714,214269,112.34,379612,284117,133.61
2019-04-19,335388,297562,112.71,353234,258103,136.86
2019-04-18,380580,323191,117.76,309772,208046,148.9
2019-04-17,528968,567713,93.18,221443,140352,157.78
2019-04-16,390846,336637,116.1,576086,310825,185.34
2019-04-15,309888,239837,129.21,547540,304030,180.09
2019-04-12,247634,203081,121.94,525599,298962,175.81
2019-04-11,325983,275552,118.3,494090,276057,178.98
2019-04-10,455377,399115,114.1,438239,213035,205.71
2019-04-09,329009,222962,147.56,522223,271534,192.32
2019-04-08,377032,273723,137.74,474819,260222,182.47
2019-04-03,424005,405045,104.68,373868,211393,176.86
2019-04-02,339370,265532,127.81,507692,321860,157.74
2019-04-01,470613,430518,109.31,461264,299943,153.78
2019-03-29,437855,371251,117.94,408518,272674,149.82
2019-03-28,256503,241737,106.11,332076,252822,131.35
2019-03-27,478166,448172,106.69,271804,189882,143.14
