評等日期,公司代碼,券商,原評等,升/降,新評等,財測EPS(年度),舊目標價,新目標價,現價,備註
20200929,5269-祥碩,美系券商,加碼,重申,加碼,,,2250.0,737.0,--
20200922,2354-鴻準,美系券商,買進,降級,中立,,62.0,55.0,54.5,--
20200922,3034-聯詠,亞系券商,中立,升級,買進,,327.0,297.0,185.0,--
20200918,6213-聯茂,美系券商,無,首次,買進,,,165.0,143.0,--
20200917,3037-欣興,美系券商,買進,重申,買進,,,155.0,38.1,--
20200916,6147-頎邦,美系券商,中立,升級,買進,,60.0,73.0,56.0,--
20200915,2303-聯電,亞系券商,中立,升級,加碼,,22.8,28.5,15.05,--
20200914,2345-智邦,美系券商,無,首次,超越市場表現,,,280.0,206.0,--
20200910,2382-廣達,亞系券商,無,首次,超越市場表現,,,88.0,62.8,--
20200908,3008-大立光,亞系券商,超越市場表現,重申,超越市場表現,,,4755.0,3850.0,--
20200908,2327-國巨,美系券商,加碼,重申,加碼,,,465.0,339.5,--
20200907,3665-F-貿聯,亞系券商,無,首次,持有,,,220.0,179.5,--
20200907,3008-大立光,美系券商,無,首次,買進,,,4350.0,3850.0,--
20200903,3005-神基,亞系券商,無,首次,買進,,,60.0,44.1,--
20200903,2377-微星,美系券商,加碼,重申,加碼,,,180.0,93.0,--
20200902,2377-微星,美系券商,買進,重申,買進,,,171.0,93.0,--
20200901,6285-啟碁,美系券商,無,首次,買進,,,115.0,60.2,--
20200901,2377-微星,美系券商,無,首次,加碼,,,180.0,93.0,--
20200901,5269-祥碩,美系券商,買進,重申,買進,,1765.0,2200.0,737.0,--
20200828,3034-聯詠,美系券商,中立,重申,中立,,330.0,275.0,185.0,--
20200828,9938-百和,美系券商,加碼,重申,加碼,,,85.0,62.8,--
20200828,9938-百和,亞系券商,超越市場表現,重申,超越市場表現,,75.0,89.0,62.8,--
20200826,2454-聯發科,美系券商,加碼,重申,加碼,,880.0,690.0,368.0,--
20200826,2474-可成,亞系券商,低於市場表現,重申,低於市場表現,,,171.0,217.0,--
20200826,2474-可成,歐系券商,中立,重申,中立,,,200.0,217.0,--
20200821,3665-F-貿聯,美系券商,買進,重申,買進,,,275.0,179.5,--
20200821,2454-聯發科,亞系券商,買進,重申,買進,,860.0,700.0,368.0,--
20200819,2474-可成,歐系券商,中立,重申,中立,,,200.0,217.0,--
20200819,2474-可成,亞系券商,低於市場表現,重申,低於市場表現,,,190.0,217.0,--
20200818,2474-可成,亞系券商,低於市場表現,重申,低於市場表現,,,171.0,217.0,--
20200818,2376-技嘉,美系券商,--,首次,超越市場表現,,,105.0,53.2,--
20200818,5457-宣德,美系券商,無,首次,超越市場表現,,,200.0,65.1,--
20200818,2454-聯發科,歐系券商,無,首次,中立,,800.0,720.0,368.0,--
20200818,2454-聯發科,美系券商,買進,重申,買進,,825.0,750.0,368.0,--
20200814,6415-F-矽力,美系券商,買進,降級,買進,,1500.0,1850.0,1200.0,--
20200814,4938-和碩,美系券商,--,首次,超越市場表現,,,74.0,65.1,--
20200814,4938-和碩,亞系券商,持有,重申,持有,,,60.0,65.1,--
20200814,2454-聯發科,美系券商,買進,降級,中立,,,725.0,368.0,--
20200814,6121-新普,美系券商,--,首次,買進,,,360.0,298.0,--
20200803,2383-台光電,亞系券商,買進,重申,買進,,,211.0,123.0,--
20200720,6488-,美系券商,買進,重申,買進,,480.0,577.0,379.5,--
20200720,3037-欣興,亞系券商,買進,重申,買進,,55.0,68.0,38.1,--
20200720,3231-緯創,美系券商,減碼,升級,中立,,21.0,35.0,26.05,--
20200717,2449-京元電,亞系券商,賣出,重申,超越市場表現,,25.0,38.0,35.6,--
20200716,3105-穩懋,亞系券商,賣出,升級,買進,,188.0,400.0,274.0,--
20200716,6456-GIS-KY,亞系券商,中立,升級,買進,,83.0,140.0,87.4,--
20200716,9910-豐泰,亞系券商,持有,升級,買進,,143.0,197.0,146.0,--
20200716,4966-F-譜瑞,亞系券商,買進,重申,買進,,840.0,1260.0,692.0,--
20200715,9910-豐泰,歐系券商,中立,升級,超越市場表現,,136.0,200.0,146.0,--
20200715,1477-聚陽,美系券商,加碼,重申,加碼,,205.0,215.0,116.5,--
20200715,2330-台積電,亞系券商,買進,重申,買進,,330.0,425.0,306.5,--
20200714,2383-台光電,美系券商,加碼,重申,加碼,,145.0,172.0,123.0,--
20200714,2330-台積電,亞系券商,超越市場表現,升級,強力買進,,315.0,500.0,306.5,--
20200713,9921-巨大,亞系券商,買進,重申,買進,,230.0,340.0,141.5,--
20200713,9914-美利達,亞系券商,買進,重申,買進,,193.0,260.0,123.0,--
20200709,2379-瑞昱,歐系券商,超越市場表現,重申,超越市場表現,,300.0,415.0,230.5,--
20200709,2454-聯發科,美系券商,加碼,重申,加碼,,530.0,750.0,368.0,--
